id;N. PG Atto;Anno PG Atto;Classificazione incarico;Descrizione incarico;Data inizio incarico;Data fine incarico;Durata incarico (gg);Compenso previsto (Euro);Struttura conferente;Responsabile della struttura conferente
0;7961;2018;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2018-09-01;2018-02-20;14;0.0;AREA PERSONALE E ORGANIZZAZIONE;Mariagrazia Bonzagni
1;32193;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-01-22;2024-03-08;;424.72;AREA PROGRAMMAZIONE E STATISTICA;DR.SSA SILVIA MARREDDU
2;32193;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-01-22;2024-03-08;;424.72;AREA PROGRAMMAZIONE E STATISTICA;DR.SSA SILVIA MARREDDU
5;32193;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-01-22;2024-03-08;;424.72;AREA PROGRAMMAZIONE E STATISTICA;DR.SSA SILVIA MARREDDU
8;9825;2019;Z1;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-09-01;2019-05-31;;500.0;ISTITUZIONE EDUCAZIONE E SCUOLA;POMPILIA PEPE
9;9825;2019;Z1;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-09-01;2019-05-31;;400.0;ISTITUZIONE EDUCAZIONE E SCUOLA;POMPILIA PEPE
14;9825;2019;Z1;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-09-01;2019-05-31;;600.0;ISTITUZIONE EDUCAZIONE E SCUOLA;POMPILIA PEPE
20;20042;2019;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-01-30;2019-02-13;6;0.0;AREA PERSONALE E ORGANIZZAZIONE;Mariagrazia Bonzagni
22;47206;2019;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-02-18;2019-02-28;4;544.72;AREA PERSONALE E ORGANIZZAZIONE;Mariagrazioa Bonzagni
23;47206;2019;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-02-14;2019-02-14;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;Mariagrazia Bonzagni
29;47206;2019;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-03-14;2019-03-14;1;99.04;AREA PERSONALE E ORGANIZZAZIONE;Mariagrazia Bonzagni
31;77666;2023;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2023-02-28;2023-03-31;;497.32;AREA PROGRAMMAZIONE E STATISTICA;DR.SSA SILVIA MARREDDU
33;77666;2023;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2023-02-28;2023-03-31;;497.32;AREA PROGRAMMAZIONE E STATISTICA;DR.SSA SILVIA MARREDDU
36;77666;2023;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2023-02-28;2023-03-31;;497.32;AREA PROGRAMMAZIONE E STATISTICA;DR.SSA SILVIA MARREDDU
39;97697;2025;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2025-02-26;2025-04-08;;556.18;AREA PROGRAMMAZIONE, STATISTICA E PRESIDIO SISTEMI DI CONTROLLO INTERNI;DR.SSA SILVIA MARREDDU
48;89296;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-02-26;2024-04-08;;692.76;AREA PROGRAMMAZIONE E STATISTICA;DR.SSA SILVIA MARREDDU
52;89296;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-02-26;2024-04-08;;692.76;AREA PROGRAMMAZIONE E STATISTICA;DR.SSA SILVIA MARREDDU
55;30316;2015;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2015-03-03;2015-04-30;;1444.2;SETTORE STATISTICA;DR. FRANCO CHIARINI
56;30316;2015;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2015-03-03;2015-04-30;;1444.2;SETTORE STATISTICA;DR. FRANCO CHIARINI
57;76362;2022;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2022-01-03;2022-04-26;;0.0;AREA PERSONALE E ORGANIZZAZIONE;Daniela Gemelli
58;30316;2015;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2015-03-03;2015-04-30;;1444.2;SETTORE STATISTICA;DR. FRANCO CHIARINI
